 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
12208,C1-A1-1.tif:12208-04121,71.972,2450.486,2116,2936,0,65535
12209,C1-A1-1.tif:12209-04122,106.502,3434.480,2886,4914,0,65535
12210,C1-A1-1.tif:12210-04128,164.746,2447.753,1930,3510,0,65535
12211,C1-A1-1.tif:12211-04126,208.429,7023.022,3211,57456,0,65535
12212,C1-A1-1.tif:12212-04132,423.930,15178.104,3517,65535,0,65535
12213,C1-A1-1.tif:12213-04118,71.140,3367.854,3028,3748,0,65535
12214,C1-A1-1.tif:12214-04127,289.970,14150.383,4012,64358,0,65535
12215,C1-A1-1.tif:12215-04125,160.586,3246.332,2916,3701,0,65535
12216,C1-A1-1.tif:12216-04120,94.438,2583.643,2188,3002,0,65535
12217,C1-A1-1.tif:12217-04122,79.045,2590.000,2291,2912,0,65535
12218,C1-A1-1.tif:12218-04122,56.579,3117.779,2831,3545,0,65535
12219,C1-A1-1.tif:12219-04121,62.820,3222.543,2860,3897,0,65535
12220,C1-A1-1.tif:12220-04127,210.925,4283.876,3336,18801,0,65535
12221,C1-A1-1.tif:12221-04118,47.427,2329.868,1877,3444,0,65535
12222,C1-A1-1.tif:12222-04125,54.499,2265.763,1910,2520,0,65535
12223,C1-A1-1.tif:12223-04127,309.523,6011.901,2640,17870,0,65535
12224,C1-A1-1.tif:12224-04132,167.658,7339.935,2811,24806,0,65535
12225,C1-A1-1.tif:12225-04120,64.068,12393.117,3527,32954,0,65535
12226,C1-A1-1.tif:12226-04145,596.996,5318.061,2929,15074,0,65535
12227,C1-A1-1.tif:12227-04137,401.464,3591.462,2835,6741,0,65535
12228,C1-A1-1.tif:12228-04125,180.971,3002.644,2728,3340,0,65535
12229,C1-A1-1.tif:12229-04132,318.259,2650.075,2312,3021,0,65535
12230,C1-A1-1.tif:12230-04127,210.093,2696.331,2351,3086,0,65535
12231,C1-A1-1.tif:12231-04123,44.931,1647.333,1423,1872,0,65535
12232,C1-A1-1.tif:12232-04149,1049.632,4034.641,1993,32984,0,65535
12233,C1-A1-1.tif:12233-04123,63.652,4457.843,3130,16597,0,65535
12234,C1-A1-1.tif:12234-04129,131.048,2957.765,2670,3250,0,65535
12235,C1-A1-1.tif:12235-04130,124.392,2367.900,2041,2727,0,65535
12236,C1-A1-1.tif:12236-04131,149.353,2858.507,2525,3115,0,65535
12237,C1-A1-1.tif:12237-04124,54.083,2906.331,2289,5481,0,65535
12238,C1-A1-1.tif:12238-04127,74.885,9388.183,2770,51356,0,65535
12239,C1-A1-1.tif:12239-04127,112.743,3083.886,2718,3891,0,65535
12240,C1-A1-1.tif:12240-04124,45.763,3071.664,2767,3480,0,65535
12241,C1-A1-1.tif:12241-04137,325.332,2762.871,1627,14136,0,65535
12242,C1-A1-1.tif:12242-04129,141.033,2241.888,1694,4225,0,65535
12243,C1-A1-1.tif:12243-04123,44.931,2122.778,1806,3037,0,65535
12244,C1-A1-1.tif:12244-04130,201.356,2393.188,2122,2741,0,65535
12245,C1-A1-1.tif:12245-04140,623.206,3273.332,2341,26288,0,65535
12246,C1-A1-1.tif:12246-04124,66.564,3110.769,2834,3455,0,65535
12247,C1-A1-1.tif:12247-04137,235.470,3052.104,2647,3850,0,65535
12248,C1-A1-1.tif:12248-04127,99.430,2647.644,2348,2925,0,65535
12249,C1-A1-1.tif:12249-04124,50.755,3717.287,2997,7213,0,65535
12250,C1-A1-1.tif:12250-04124,60.740,1972.130,1748,2331,0,65535
12251,C1-A1-1.tif:12251-04128,84.869,4985.426,4554,5370,0,65535
12252,C1-A1-1.tif:12252-04132,137.288,2663.479,2374,3033,0,65535
12253,C1-A1-1.tif:12253-04132,143.113,2657.570,2371,2989,0,65535
12254,C1-A1-1.tif:12254-04127,127.304,3734.948,2671,15352,0,65535
12255,C1-A1-1.tif:12255-04147,671.881,11026.079,2860,65535,0,65535
12256,C1-A1-1.tif:12256-04156,1045.056,9182.225,2796,65535,0,65535
