 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
7463,C2-A1-1-1.tif:07463-03477,136.456,795.957,352,1743,0,65535
7464,C2-A1-1-1.tif:07464-03470,51.587,752.129,371,1929,0,65535
7465,C2-A1-1-1.tif:07465-03473,72.388,551.506,351,999,0,65535
7466,C2-A1-1-1.tif:07466-03472,69.060,716.271,354,1291,0,65535
7467,C2-A1-1-1.tif:07467-03477,136.456,697.604,344,1280,0,65535
7468,C2-A1-1-1.tif:07468-03475,121.895,781.785,351,1646,0,65535
7469,C2-A1-1-1.tif:07469-03479,212.589,736.114,336,1512,0,65535
7470,C2-A1-1-1.tif:07470-03471,44.515,416.467,350,646,0,65535
7471,C2-A1-1-1.tif:07471-03487,392.312,595.208,294,1358,0,65535
7472,C2-A1-1-1.tif:07472-03475,95.686,1727.513,350,7096,0,65535
7473,C2-A1-1-1.tif:07473-03479,156.426,1058.622,351,2307,0,65535
7474,C2-A1-1-1.tif:07474-03476,83.621,556.299,350,1034,0,65535
7475,C2-A1-1-1.tif:07475-03477,71.140,514.520,351,938,0,65535
7476,C2-A1-1-1.tif:07476-03481,277.489,680.721,312,1355,0,65535
7477,C2-A1-1-1.tif:07477-03480,95.270,606.725,314,1365,0,65535
7478,C2-A1-1-1.tif:07478-03474,44.099,459.340,253,698,0,65535
7479,C2-A1-1-1.tif:07479-03477,74.053,567.854,352,927,0,65535
7480,C2-A1-1-1.tif:07480-03481,153.097,682.470,350,1435,0,65535
7481,C2-A1-1-1.tif:07481-03473,64.484,595.781,362,981,0,65535
7482,C2-A1-1-1.tif:07482-03480,136.872,538.456,260,955,0,65535
7483,C2-A1-1-1.tif:07483-03482,176.811,638.049,350,1203,0,65535
7484,C2-A1-1-1.tif:07484-03475,52.003,594.208,350,1132,0,65535
7485,C2-A1-1-1.tif:07485-03479,100.678,507.132,351,821,0,65535
7486,C2-A1-1-1.tif:07486-03479,175.563,1079.815,360,2418,0,65535
7487,C2-A1-1-1.tif:07487-03478,61.572,526.088,350,818,0,65535
7488,C2-A1-1-1.tif:07488-03478,84.453,581.232,217,1200,0,65535
7489,C2-A1-1-1.tif:07489-03473,40.354,588.010,350,924,0,65535
